noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
0,8,5,76,18.0972214,0,8,70,15,30,0.0318012238,28.04996,1.29824138,1.75840986,0.00113773346,-0.298937857,1.47939789,1.51780367,-0.195034683,0.9183977,0.3442485,0.933566,0.07674692,0.350092053,0.350092053
1,8,4,77,18.0972214,0,8,70,12,30,0.00334358215,29.08039,1.32501173,2.00697947,0.0508279353,-0.854601145,1.49633837,0.963678658,-0.21708639,0.97324264,-0.07531446,0.893188059,0.225003824,0.389343619,0.389343619
1,8,2,78,18.541666,0,8,70,12,30,0.0327262878,27.08619,1.57730937,1.54841888,0.0638892651,0.24605003,0.8974208,1.51621878,0.527662635,-0.840141654,-0.12543574,-0.844429433,-0.5356574,0.00318181515,0.00318181515
0,8,7,79,18.541666,0,8,70,11,30,0.0327262878,22.3828259,1.30078161,2.076521,0.0865565538,0.8370404,1.42069614,1.52748227,0.6810903,-0.7321907,0.0035535607,-0.7273815,-0.673324764,0.132477,0.132477
1,8,9,80,18.98611,0,8,70,11,30,-0.0100307465,24.504631,1.48220932,2.01914573,0.0842679739,-0.216160238,1.991499,0.676594555,-0.0856477842,0.9724908,-0.216624349,0.994918644,0.0869195,-0.050813362,0.050813362
0,8,10,81,18.98611,0,8,70,9,30,-0.0100307465,25.9643135,1.37744033,1.59110022,0.118894994,0.188589767,1.94365454,0.671825647,-0.329887241,0.9088208,-0.2553805,0.9370474,0.3408039,0.0761245042,0.0761245042
1,8,4,82,19.4305553,0,8,70,10,30,0.03295517,22.0929356,1.44212055,1.854452,0.09987348,-0.8075232,1.44778717,1.52218735,-0.359993517,-0.8886851,0.283977717,-0.9259398,0.311451,-0.2136208,0.2136208
0,8,1,83,19.4305553,0,8,70,15,30,0.03295517,19.7054749,1.35117018,1.58295977,0.007184267,-0.306295574,0.934948,1.49998653,-0.452531934,-0.8759809,-0.166950092,-0.876297951,0.466452539,-0.120515451,0.120515451
0,8,11,84,19.875,0,8,70,12,30,0.01862526,23.9294872,1.52511811,1.204555,0.05833018,0.849146664,2.010415,1.23413813,0.442604959,0.858693,-0.258354574,0.8718191,-0.483026147,-0.08134602,0.08134602
1,8,9,85,19.875,0,8,70,13,30,0.004716873,24.2169151,1.3993,1.68354273,0.0442183,-0.255802363,1.98346448,0.9504828,0.0215869211,0.9640554,-0.2648228,0.9995333,-0.02997218,0.005917996,0.005917996
1,8,1,86,20.3194447,0,8,70,12,30,0.00556564331,21.16971,1.47233522,1.48423672,0.06563761,-0.2347138,0.9358504,1.00656641,0.0361012556,-0.9653489,-0.2584535,-0.9946465,-0.0149585195,-0.102247357,0.102247357
0,8,3,87,20.3194447,0,8,70,13,30,0.00556564331,21.1007957,1.40007484,1.63103163,0.0441124439,0.937922835,0.9572009,0.9968494,0.483020216,-0.792216837,-0.372939676,-0.859684944,-0.506259859,0.0681383759,0.0681383759
1,8,10,88,20.76389,0,8,70,3,30,0.004541397,27.7912464,1.30409837,2.10118747,0.239020526,0.06757492,1.99432528,1.04858708,0.025786737,0.994586766,-0.100659117,0.9724065,-0.039840214,-0.2298662,0.2298662
0,8,9,89,20.76389,0,8,70,0,30,-0.009096146,26.72522,1.39630508,1.50626743,0.2939659,-0.030351162,2.03112435,0.8271,-0.07226527,0.9590309,-0.2739297,0.9172793,0.159234479,0.365024656,0.365024656
1,8,4,90,21.208334,0,8,70,12,30,0.0333519,23.1326,1.520059,1.854513,0.06299329,-0.8434502,1.45424974,1.55743074,-0.419188529,-0.8995419,0.122904055,-0.89771235,0.388865739,-0.207113534,0.207113534
0,8,2,91,21.208334,0,8,70,12,30,0.019569397,20.4753933,1.35854363,1.5577271,0.05564797,0.244377017,0.932993531,1.26741076,0.0252860859,-0.977838039,-0.207830131,-0.999551058,-0.0140806865,-0.02644743,0.02644743
1,8,10,92,21.6527786,0,8,70,11,30,0.0189037323,25.5578785,1.412658,1.68731725,0.07764423,0.3697676,1.95897973,1.23187947,0.219499141,0.936807752,-0.272417724,0.898554742,-0.2985186,-0.3216926,0.3216926
0,8,11,93,21.6527786,0,8,70,14,30,0.0189037323,25.66853,1.31883907,1.42430913,0.013907969,0.9126488,1.97671843,1.25489438,0.3343474,0.896650434,-0.290223867,0.9094616,-0.391108751,-0.141116112,0.141116112
0,8,1,94,22.0972214,0,8,70,4,30,0.0480442047,21.92757,1.25661159,1.52911258,0.226814821,-0.4879273,1.03534377,1.77016425,-0.4234408,-0.8824349,-0.204955012,-0.8285495,0.474116534,-0.29785794,0.29785794
1,8,2,95,22.0972214,0,8,70,0,30,0.0332317352,25.0636559,1.553393,1.49658382,0.332456976,0.5832538,1.06438267,1.43001282,0.310422033,-0.8908063,-0.331816584,-0.8520014,-0.399578065,0.338276654,0.338276654
1,8,5,96,22.541666,0,8,70,14,30,0.00573730469,19.1021385,1.04621959,2.177573,0.0135625154,-0.2866902,1.48735249,1.00437737,-0.187413856,0.901501954,0.390090138,0.981368244,0.189644486,0.0308457613,0.0308457613
